,Annualized_Vol,VaR_95_Daily
INFY.NS,0.2282703819180715,-0.018682568104275973
INR=X,0.04281715747892815,-0.00262032009930225
RELIANCE.NS,0.18214268231424072,-0.015917088327539075
TCS.NS,0.18518183432518381,-0.016680165852096876
