Date,Portfolio,Volatility,Regime
2023-02-02,0.0102621298142927,0.009956767526699632,1
2023-02-03,0.0056971803728906,0.010005963117378605,1
2023-02-06,-0.0108098358685759,0.01000882135895216,1
2023-02-07,-0.0011682945975275,0.009914680782879841,1
2023-02-08,0.0172162604603705,0.009915909695545969,1
2023-02-09,0.0080997771320306,0.008283318964570782,1
2023-02-10,-0.0047972206957811,0.007851309381244157,0
2023-02-13,-0.015611036966883,0.008761014450184582,1
2023-02-14,0.0150359474352987,0.009126797306157203,1
2023-02-15,0.0103001046288018,0.00918973384737162,1
2023-02-16,0.0042721550395231,0.009178794355192527,1
2023-02-17,-0.0076842620026498,0.00914300108596228,1
2023-02-20,-0.0030223650342324,0.009194408561891177,1
2023-02-21,-0.0034605607095834,0.009195421348288973,1
2023-02-22,-0.0160710486191175,0.009759394893701336,1
2023-02-23,-0.0027660126580506,0.009632191495608476,1
2023-02-24,0.0009666002701061,0.009632212036896652,1
2023-02-27,-0.0178298399371034,0.01030416442758902,1
2023-02-28,-0.0130814318225265,0.010408022343037018,1
2023-03-01,0.0122988138892622,0.01064479531087291,1
2023-03-02,-0.0141891903221866,0.010933282206944808,1
2023-03-03,0.0122014267138092,0.011043058613729425,1
2023-03-06,0.0125611661144271,0.011353450599636659,2
2023-03-09,-0.0160230309268647,0.011635935009433818,2
2023-03-10,-0.0077410994475998,0.011726380082143979,2
2023-03-13,-0.0186472845070285,0.011489283764874536,2
2023-03-14,-0.0115597176680191,0.01133056614852463,2
2023-03-15,-0.0074434882007013,0.011354095037640382,2
2023-03-16,-0.006760950350964,0.011068720648983134,1
2023-03-17,0.0029250382402944,0.010332263915862562,1
2023-03-20,-0.0110510086452397,0.009861271087635355,1
2023-03-21,0.003345016984735,0.00981807365612786,1
2023-03-22,0.003316554350371,0.009981244531593443,1
2023-03-23,-0.0083987115457549,0.010000720267876196,1
2023-03-24,-0.0055624404398622,0.009993853171703088,1
2023-03-27,0.0073777285538301,0.010030135100346473,1
2023-03-28,-0.001850366955977,0.01003820272565554,1
2023-03-29,0.0019281324789239,0.010064409704197502,1
2023-04-03,-0.0045479215132549,0.009556975902274232,1
2023-04-06,-0.0001158598849215,0.009314376463105716,1
2023-04-11,-0.0084258355506833,0.008718021854631467,1
2023-04-12,0.0096088410988749,0.008838527489310603,1
2023-04-13,-0.0132972660611341,0.008444343875157299,1
2023-04-18,-0.0044665186732451,0.0075636512089770295,0
2023-04-19,-0.0099081841628089,0.00721299942653869,0
2023-04-20,-0.0015837539425606,0.00719322813284219,0
2023-04-21,0.0075128533702188,0.006793565567256385,0
2023-04-24,0.0024631166916058,0.0065759616154676135,0
2023-04-25,0.0022969444699126,0.006526493662301514,0
2023-04-26,0.001088871220334,0.006444978118275656,0
2023-04-27,0.0061244043293237,0.0065861669657003115,0
2023-04-28,0.0111042912884616,0.006694422054482901,0
2023-05-03,-0.0091163100587105,0.006922670560125968,0
2023-05-04,0.0092752280728406,0.007211130309367722,0
2023-05-05,-0.0035980144279026,0.0070185499376874,0
2023-05-08,0.0078899236201726,0.00711555959429268,0
