Date,INFY.NS,RELIANCE.NS,TCS.NS,Portfolio
2023-01-03,-0.0009513557058984379,-0.007317846942682227,0.015300028145159184,0.0023436084988595063
2023-01-04,-0.018226111306299586,-0.015056372900683068,0.0009965139230720954,-0.010761990094636853
2023-01-05,-0.01311221945270391,-0.0017867113818760272,-0.0010707143250305862,-0.0053232150532035085
2023-01-06,-0.018099155173059378,0.009088885255934764,-0.030065761422152226,-0.013025343779758947
2023-01-09,0.024818758812122255,0.023611361306151935,0.03375309516583491,0.027394405094703034
2023-01-10,-0.009902686600138821,-0.014787286023285828,-0.010105663199787562,-0.01159854527440407
2023-01-11,0.0010206124779701398,-0.01260555979156397,0.012871450146427543,0.0004288342776112377
2023-01-12,0.0063552711369150305,-0.02159420047461358,0.0016974128869777783,-0.004513838816906922
2023-01-13,0.015567910126549123,-0.001618224691639858,0.012056198912910654,0.008668628115939974
2023-01-16,0.014531449000467767,-0.009523522608857027,0.0104559396310282,0.005154622007546313
2023-01-17,0.009177186391672754,0.014197364859497963,0.013302217909511915,0.012225589720227543
2023-01-18,0.0038325571358281962,-0.0016538705922585217,0.0034335128169364904,0.0018707331201687216
2023-01-19,-0.004206185332602752,-0.0010708374651342556,-0.004985113180315026,-0.0034207119926840113
2023-01-20,-0.008675029002533363,-0.011892980161563704,-0.002964656836052404,-0.007844222000049824
2023-01-23,0.014716068521197778,-0.005056059476819086,0.015402222692147083,0.00835407724550859
2023-01-24,0.0025192834813849707,-0.005904560308146678,0.006266880195823665,0.0009605344563539859
2023-01-25,-0.005734849532886721,-0.01382486439006081,-0.0019061476080103334,-0.007155287176985953
2023-01-30,0.01293490239398154,0.009583675454915452,0.0066254883430769684,0.009714688730657986
2023-01-31,-0.0032818474875944137,-0.0025004051188896037,-0.021827986501165464,-0.00920341303588316
2023-02-01,0.011312107049161302,-0.005926381183538054,0.014782269243953428,0.006722665036525558
2023-02-02,0.021049495429773968,-0.0055345290661914515,0.015271423079295632,0.010262129814292715
2023-02-03,0.009881767893675342,0.0008810710385502851,0.006328702186446211,0.005697180372890612
2023-02-06,-0.018475816307042092,-0.007535498857808909,-0.006418192440876935,-0.010809835868575979
2023-02-07,-0.004745621479117612,-0.002401102737233929,0.003641840423768805,-0.0011682945975275787
2023-02-08,0.01798520915699564,0.019970567736533607,0.013693004487582261,0.017216260460370503
2023-02-09,0.01666139731227778,0.0017431839370580793,0.005894750146756111,0.008099777132030656
2023-02-10,-0.005225746469065151,-0.008233935613976229,-0.0009319800043019466,-0.0047972206957811086
2023-02-13,-0.025551068252108844,-0.0056920287222117505,-0.015590013926328639,-0.015611036966883077
2023-02-14,0.01645992724953138,0.023565085912361505,0.005082829144003265,0.015035947435298716
2023-02-15,0.002385078082694614,0.022644065555321946,0.005871170248388902,0.01030010462880182
2023-02-16,0.00297429544668093,-0.0007811255266741979,0.010623295198562754,0.004272155039523162
2023-02-17,-0.011237362993847033,0.004176742358842578,-0.01599216537294501,-0.007684262002649822
2023-02-20,0.0054615160942781404,-0.010572882062098832,-0.003955729134876518,-0.0030223650342324025
2023-02-21,-0.008132061455095263,0.008159430471287976,-0.01040905114494306,-0.003460560709583449
2023-02-22,-0.011206076976450707,-0.022677781427524635,-0.014329287453377249,-0.01607104861911753
2023-02-23,-0.007107141554454022,-0.004792167607163611,0.003601271187465782,-0.0027660126580506166
2023-02-24,-3.235891235253696e-05,0.006842678152528814,-0.00391051842985779,0.000966600270106162
2023-02-27,-0.026666237489485156,-0.006649328655966902,-0.02017395366585817,-0.01782983993710341
2023-02-28,-0.014410646364360846,-0.01913130190652368,-0.005702347196695157,-0.01308143182252656
2023-03-01,0.0057141461309973,0.009192379673834017,0.02198991586295551,0.012298813889262275
2023-03-02,-0.01597537719133968,-0.007615374040462974,-0.018976819734757178,-0.014189190322186608
2023-03-03,0.004856776712497846,0.025515304630292057,0.006232198798637789,0.01220142671380923
2023-03-06,0.019029182644811016,0.009767736974090058,0.008886578724380367,0.012561166114427147
2023-03-09,-0.008239993258916889,-0.024034590376451392,-0.015794509145225955,-0.016023030926864742
2023-03-10,-0.00597820345509803,-0.015492084678396023,-0.0017530102093055167,-0.007741099447599856
2023-03-13,-0.024769822266148434,-0.016446548515850257,-0.014725482739087026,-0.018647284507028572
2023-03-14,-0.010521922526864014,-0.0037425253085450194,-0.020414705168648406,-0.011559717668019146
2023-03-15,-0.0002463300755525255,-0.017091736536458013,-0.0049923979900934334,-0.0074434882007013235
2023-03-16,-0.010953513524865621,-0.004984330095755052,-0.004345007432271397,-0.006760950350964023
2023-03-17,0.011822559420404666,-0.0012578657152514383,-0.0017895789842699017,0.002925038240294442
2023-03-20,-0.012001174456654495,-0.009828593079971859,-0.011323258399092984,-0.01105100864523978
2023-03-21,-0.009225971391570775,0.031095783633779517,-0.011834761288003648,0.0033450169847350315
2023-03-22,-0.0010425441868183727,0.0030401228113476897,0.007952084426583905,0.003316554350371074
2023-03-23,-0.010581279098565433,-0.01265031944699424,-0.0019645360917051047,-0.008398711545754925
2023-03-24,0.004437820260436043,-0.019797240492086754,-0.001327901087935901,-0.005562440439862204
2023-03-27,0.006011681126681934,0.01554480517943757,0.0005766993553710797,0.0073777285538301944
2023-03-28,-0.00817175804006598,0.004670462623840299,-0.002049805451705411,-0.0018503669559770302
2023-03-29,0.004319300301370399,-0.005916375657558426,0.0073814727929597534,0.0019281324789239087
2023-04-03,-0.011975196167310798,0.00017161391183129204,-0.0018401822842853965,-0.004547921513254967
2023-04-06,-0.0011592957869476228,0.006707216402868088,-0.005895500270684972,-0.00011585988492150245
2023-04-11,-0.015025201587997028,0.004946597997528501,-0.015198903061581448,-0.008425835550683325
2023-04-12,0.015752198601417966,0.00440857578897802,0.008665748906228954,0.00960884109887498
2023-04-13,-0.02737524615663889,0.003771374655578308,-0.016287926682341913,-0.013297266061134164
2023-04-18,0.0008343785101836421,-0.011446948301233273,-0.002786986228685895,-0.004466518673245175
2023-04-19,-0.021558650934495383,0.004977936522083004,-0.01314383807601438,-0.00990818416280892
2023-04-20,-0.0071415524305247224,-0.0025297913601445288,0.004920081962987322,-0.001583753942560643
2023-04-21,0.0032287309510912188,0.0012574464263079843,0.018052382733257266,0.0075128533702188225
2023-04-24,-0.0008556357113065349,0.003831465166304504,0.004413520619819478,0.0024631166916058156
2023-04-25,-0.0011416075240596735,0.0076546618999151494,0.0003777790338823639,0.002296944469912613
2023-04-26,0.002163470576256765,-0.005871009970824459,0.0069741530555698095,0.0010888712203340385
2023-04-27,0.01523347352341764,0.006329077382472015,-0.0031893379179184222,0.006124404329323744
2023-04-28,0.005215839439679293,0.01827890363026685,0.009818130795438806,0.01110429128846165
2023-05-03,-0.006497132934442651,-0.00858236750432706,-0.012269429737362003,-0.00911631005871057
2023-05-04,0.0034667116086282146,0.011528404448272411,0.012830568161621203,0.009275228072840608
2023-05-05,-0.011346195992461339,-0.0025530362364671877,0.003105188945220716,-0.003598014427902603
2023-05-08,0.0051625026573103305,0.012347750322027062,0.00615951788118041,0.0078899236201726
2023-05-09,0.004029725125357819,0.003094666705899529,0.010044257583989857,0.005722883138415735
2023-05-10,-0.005862841846353106,0.006876407039037247,0.0010812670026871807,0.0006982773984571069
2023-05-11,-0.005660138401552439,-0.006529005968829105,-0.0014147982060969122,-0.004534647525492818
2023-05-12,-0.008677772910522075,0.0016329250122366634,-0.002391830183615773,-0.003145559360633728
2023-05-15,0.010560835973542293,0.0019723318141513513,-0.005879108967258628,0.002218019606811672
2023-05-16,0.0047282031537572156,-0.01424117909301359,0.0009523989721462733,-0.002853525655703367
2023-05-17,-0.01376255011016625,-0.005909365678753775,-0.01517736076209375,-0.011616425517004592
2023-05-18,-0.0007218117924320255,-0.0021520370135895694,-0.002757988723320781,-0.0018772791764474586
2023-05-19,0.018378903598216922,0.003245509108342981,0.0071877318005966195,0.009604048169052174
2023-05-22,0.018835183568643332,0.00534408472392478,0.023535193155530987,0.0159048204826997
2023-05-23,0.005607979866044666,-0.0001833179969257248,-0.0005003179598294105,0.0016414479697631768
2023-05-24,-0.0010767434372349616,-0.005825961955903014,0.0019109683901157304,-0.0016639123343407483
2023-05-25,0.004389099896298987,-0.00012284113014715548,-0.0029819308938761058,0.0004281092907585753
2023-05-26,0.010043142040151665,0.027275177223661906,0.010748551425707298,0.016022290229840287
2023-05-29,-0.002314878893432737,0.005625304653326557,-0.002568529268386577,0.0002472988305024144
2023-05-30,0.0071896054258588915,-0.00025790129032332576,-0.001249874876595558,0.0018939430863133357
2023-05-31,-0.004192343067140669,-0.01986161209619708,-0.008051220543292437,-0.010701725235543396
2023-06-01,0.000910189579919507,-0.002692365614762382,0.010487801945261666,0.00290187530347293
2023-06-02,-0.0023040193997202474,-0.0032680465833422323,-0.005535562231769209,-0.0037025427382772294
2023-06-05,0.004233975660377753,0.008981088632976197,-0.0050520037240338045,0.002721020189773382
2023-06-06,-0.019547789240279,0.0008475843253030746,-0.017209208582875668,-0.011969804499283865
2023-06-07,0.007779495259036429,0.0075827558042227405,0.01317923421807854,0.00951382842711257
2023-06-08,-0.004771360952075421,0.0006003982174092037,-0.011740823509661547,-0.005303928748109254
2023-06-09,-0.013135389584528201,-0.007081068347842723,-0.008388642576369953,-0.009535033502913624
2023-06-12,0.02053811078595258,0.0008864898643006214,0.011715783800130497,0.011046794816794565
2023-06-13,0.009984930401714998,0.014773657669752804,-0.0009855311533805144,0.007924352306029095
2023-06-14,-0.003410383597950206,0.012297308736523682,0.0022659951612720164,0.003717640099948497
2023-06-15,-0.010458257110662394,0.0002744434660606476,-0.003331291406383552,-0.0045050350169951
2023-06-16,0.0037690047533061044,0.009735408097244713,-0.012871826151573007,0.00021086223299260354
2023-06-19,0.0018193668566732768,-0.009932564181680537,0.011181294835772349,0.0010226991702550294
2023-06-20,0.00726425108902351,0.0020769665976194673,0.00538871945088637,0.004909979045843116
2023-06-21,-0.003107251412077794,0.002815661835301242,0.00944953603405052,0.0030526488190913224
2023-06-22,-0.01369917706487822,-0.011231128854577332,-0.006046430941344494,-0.010325578953600015
2023-06-23,-0.01291403002530167,-0.008183672162911604,-0.006839271306581907,-0.00931232449826506
2023-06-26,0.004229313160207138,-0.007635090280301071,-0.008301411183371576,-0.00390239610115517
2023-06-27,0.006927225057275388,0.0003607857306724416,0.0024140269829744376,0.0032340125903074224
2023-06-28,0.011101112945096858,0.01323874951584103,0.005660921134036823,0.010000261198324903
2023-07-03,-0.0013478724444166978,0.025664238955634522,-0.009069354786070183,0.005082337241715879
2023-07-04,0.008585106399740416,-0.010303294122121165,0.011169299308135372,0.0031503705285848746
2023-07-05,0.001598306127468252,-0.0016416790845353857,0.003354694541623404,0.001103773861518757
2023-07-06,-0.002523477444915434,0.02099047816519084,0.0008886310232709693,0.006451877247848792
2023-07-07,-0.01019430493357687,-0.0019516771665121224,0.0019109698056778424,-0.0034116707648037163
2023-07-10,-0.000789177847097533,0.03852136695901098,-0.01721127688275126,0.0068403040763873975
2023-07-11,0.014633306683843994,0.01084068045046327,0.00013779502510824493,0.008537260719805168
2023-07-12,-0.01134504217907395,0.0011033059813654322,-0.003819882991020429,-0.004687206396242982
2023-07-13,0.023850489767054617,-0.008942320122229841,0.02473998823240975,0.01321605262574484
2023-07-14,0.04457555007247449,-0.0008383881967419793,0.05211719626811062,0.03195145271461437
2023-07-17,-0.0021039277493360986,0.020432662990144124,-0.006529820463113012,0.003932971592565004
2023-07-18,0.0367194737462444,0.008492153248868206,0.0014748383209528537,0.015562155105355153
2023-07-19,-0.0001693330086744993,0.007587453680580669,-0.007663923712822318,-8.19343469720497e-05
2023-07-20,-0.01725485719435005,-0.0012110160113818491,0.0006500980386721089,-0.005938591722353262
2023-07-21,-0.08133846002183276,-0.030956034959494394,-0.027430489786105627,-0.04657499492247759
2023-07-24,0.0037549356825115066,-0.020226453762084984,0.0078525997779475,-0.0028729727672086596
2023-07-25,-0.001496316249799956,-0.000643187255803146,0.0012962468763841883,-0.00028108554307297123
2023-07-26,0.010677278996316097,0.016252271022634934,-0.0031921562878481913,0.007912464577034279
2023-07-27,0.0031880384780724746,-0.00930256143102326,0.0025380897688400683,-0.0011921443947035724
2023-07-28,-0.009348629967930733,0.010049186754339967,-0.012216995365463057,-0.003838812859684607
2023-07-31,0.01133893776316075,0.008465680377409468,0.019684809011248694,0.013163142383939636
2023-08-01,0.0070076583778166945,-0.014141513112179482,0.00894346345641095,0.0006032029073493872
2023-08-02,-0.006116352695883176,-0.010683463121801684,-0.0033024381976739514,-0.006700751338452936
2023-08-03,0.005490660843258999,-0.004203031225325504,-0.01182912563453109,-0.0035138320055325316
2023-08-04,0.010298227630906043,0.013591102765711627,0.012823754541965382,0.012237694979527683
2023-08-07,0.010628705556547047,0.005698252275666782,0.011761157308197934,0.00936270504680392
2023-08-08,-0.0020101017986451364,-0.006022619466385271,-0.003860430373677559,-0.003964383879569322
2023-08-09,0.0030212256691193318,0.006597185054120214,-0.0023337919181189992,0.0024282062683735157
2023-08-10,-0.003800948056566944,0.0044550500308568886,-0.00589184959414546,-0.0017459158732851716
2023-08-11,-0.012418106801032058,0.004218488758902961,0.001946523851846349,-0.00208436473009425
2023-08-14,0.015818078597352514,0.011817227450572343,0.0003045227341538226,0.009313276260692893
2023-08-17,-0.004899548061642611,-0.014426274382724147,-0.006549279184113965,-0.00862503387616024
2023-08-18,-0.016117074677581278,0.007407409568482626,-0.0199809983079009,-0.009563554472333183
2023-08-21,0.011952774087803597,-0.010911451236625624,0.010261083207832256,0.003767468686336742
2023-08-22,-0.001174113104920771,-0.0002381397614932279,-0.005732618721053351,-0.0023816238624891164
2023-08-23,0.0029921561740668956,0.0011114208967042405,0.004760354289284452,0.002954643786685196
2023-08-24,0.011115215489176489,-0.016810678936159063,-0.0030899843377786285,-0.0029284825949204008
2023-08-25,-0.002458434576468993,-0.004617245392697478,-0.0019038182339238263,-0.0029931660676967655
2023-08-28,-0.0031335171283584096,-0.00996634044703304,-0.0017005372416722953,-0.004933464939021248
2023-08-29,0.0014127616874763937,-0.009575326553045493,0.0001777557276585462,-0.0026616030459701845
2023-08-30,0.012344410602961764,-0.0009502163263850338,0.0043836284854035235,0.005259274253993418
2023-08-31,0.00020892506270731026,-0.0045698721851635815,-0.0100708708421956,-0.00481060598821729
