Date,INFY.NS,INR=X,RELIANCE.NS,TCS.NS
2023-01-02,1397.7021484375,82.74980163574219,1175.8896484375,2932.793701171875
2023-01-03,1396.3724365234375,82.70600128173828,1167.28466796875,2977.66552734375
2023-01-04,1370.9219970703125,82.78569793701172,1149.7095947265625,2980.6328125
2023-01-05,1352.9461669921875,82.66649627685547,1147.6553955078125,2977.44140625
2023-01-06,1328.458984375,82.64520263671875,1158.0863037109375,2887.92236328125
2023-01-09,1361.4296875,82.27339935302734,1185.4302978515625,2985.398681640625
2023-01-10,1347.9478759765625,82.18009948730469,1167.9010009765625,2955.229248046875
2023-01-11,1349.3236083984375,81.63739776611328,1153.178955078125,2993.267333984375
2023-01-12,1357.89892578125,81.63179779052734,1128.2769775390625,2998.34814453125
2023-01-13,1379.03857421875,81.1156005859375,1126.451171875,3034.496826171875
2023-01-16,1399.0780029296875,81.27799987792969,1115.723388671875,3066.225341796875
2023-01-17,1411.9176025390625,81.65260314941406,1131.563720703125,3107.012939453125
2023-01-18,1417.328857421875,81.52549743652344,1129.6922607421875,3117.680908203125
2023-01-19,1411.3673095703125,81.43599700927734,1128.4825439453125,3102.138916015625
2023-01-20,1399.1236572265625,81.23979949951172,1115.0615234375,3092.942138671875
2023-01-23,1419.7132568359375,80.97599792480469,1109.4237060546875,3140.580322265625
2023-01-24,1423.2899169921875,81.48799896240234,1102.873046875,3160.261962890625
2023-01-25,1415.1275634765625,81.60189819335938,1087.6259765625,3154.238037109375
2023-01-26,,81.50270080566406,,
2023-01-27,1393.254150390625,81.44509887695312,1066.9923095703125,3137.040283203125
2023-01-30,1411.2757568359375,81.50800323486328,1077.218017578125,3157.82470703125
2023-01-31,1406.6441650390625,81.57990264892578,1074.5245361328125,3088.895751953125
2023-02-01,1422.5562744140625,81.76840209960938,1068.156494140625,3134.556640625
2023-02-02,1452.5003662109375,81.71029663085938,1062.2447509765625,3182.42578125
2023-02-03,1466.8536376953125,82.0458984375,1063.1806640625,3202.56640625
2023-02-06,1439.7523193359375,82.22599792480469,1055.1690673828125,3182.01171875
2023-02-07,1432.9197998046875,82.75499725341797,1052.635498046875,3193.60009765625
2023-02-08,1458.691162109375,82.74189758300781,1073.6572265625,3237.330078125
2023-02-09,1482.9949951171875,82.65950012207031,1075.52880859375,3256.413330078125
2023-02-10,1475.2452392578125,82.533203125,1066.6729736328125,3253.37841796875
2023-02-13,1437.5511474609375,82.51300048828125,1060.6014404296875,3202.658203125
2023-02-14,1461.213134765625,82.59739685058594,1085.5946044921875,3218.936767578125
2023-02-15,1464.6982421875,82.86759948730469,1110.1768798828125,3237.835693359375
2023-02-16,1469.0546875,82.73770141601562,1109.3096923828125,3272.232177734375
2023-02-17,1452.54638671875,82.69529724121094,1113.9429931640625,3219.902099609375
2023-02-20,1460.4794921875,82.75800323486328,1102.1654052734375,3207.1650390625
2023-02-21,1448.602783203125,82.69750213623047,1111.158447265625,3173.781494140625
2023-02-22,1432.36962890625,82.86119842529297,1085.9598388671875,3128.303466796875
2023-02-23,1422.1895751953125,82.83529663085938,1080.7557373046875,3139.5693359375
2023-02-24,1422.1435546875,82.6178970336914,1088.1510009765625,3127.2919921875
2023-02-27,1384.2203369140625,82.91799926757812,1080.91552734375,3064.2021484375
2023-02-28,1364.2728271484375,82.6520004272461,1060.2362060546875,3046.72900390625
2023-03-01,1372.0684814453125,82.6353988647461,1069.9822998046875,3113.726318359375
2023-03-02,1350.149169921875,82.4198989868164,1061.833984375,3054.6376953125
2023-03-03,1356.70654296875,82.35569763183594,1088.927001953125,3073.6748046875
2023-03-06,1382.5235595703125,81.7125015258789,1099.5633544921875,3100.9892578125
2023-03-07,,81.85440063476562,,
2023-03-08,1368.9959716796875,82.07460021972656,1103.5120849609375,3118.048583984375
2023-03-09,1357.7154541015625,81.9645004272461,1076.9896240234375,3068.800537109375
2023-03-10,1349.5987548828125,82.01840209960938,1060.3048095703125,3063.4208984375
2023-03-13,1316.16943359375,81.95800018310547,1042.866455078125,3018.310546875
2023-03-14,1302.32080078125,82.41739654541016,1038.9635009765625,2956.692626953125
2023-03-15,1302.0,82.30490112304688,1021.205810546875,2941.931640625
2023-03-16,1287.738525390625,82.7156982421875,1016.1157836914062,2929.14892578125
2023-03-17,1302.962890625,82.622802734375,1014.837646484375,2923.906982421875
2023-03-20,1287.3258056640625,82.53299713134766,1004.8632202148438,2890.798828125
2023-03-21,1275.448974609375,82.52909851074219,1036.1102294921875,2856.5869140625
2023-03-22,1274.1192626953125,82.677001953125,1039.2601318359375,2879.302734375
2023-03-23,1260.637451171875,82.52580261230469,1026.1131591796875,2873.646240234375
2023-03-24,1266.23193359375,82.26529693603516,1005.7989501953125,2869.830322265625
2023-03-27,1273.8441162109375,82.33879852294922,1021.4338989257812,2871.4853515625
2023-03-28,1263.4345703125,82.21489715576172,1026.2044677734375,2865.599365234375
2023-03-29,1268.8917236328125,82.16429901123047,1020.133056640625,2886.751708984375
2023-03-30,,82.25540161132812,,
2023-03-31,1309.612060546875,82.10050201416016,1064.116455078125,2948.369384765625
2023-04-03,1293.92919921875,82.18479919433594,1064.299072265625,2942.94384765625
2023-04-04,,82.14089965820312,,
2023-04-05,1305.576904296875,82.11479949951172,1061.74267578125,2979.546630859375
2023-04-06,1304.0633544921875,81.94999694824219,1068.864013671875,2961.980712890625
2023-04-07,,81.831298828125,,
2023-04-10,1309.2911376953125,81.88480377197266,1061.2861328125,3001.2509765625
2023-04-11,1289.6187744140625,81.98390197753906,1066.535888671875,2955.63525390625
2023-04-12,1309.93310546875,82.07009887695312,1071.23779296875,2981.248046875
2023-04-13,1274.0733642578125,81.96060180664062,1075.27783203125,2932.689697265625
2023-04-14,,81.68070220947266,,
2023-04-17,1154.0213623046875,81.84480285644531,1080.73291015625,2887.303466796875
2023-04-18,1154.9842529296875,82.00370025634766,1068.36181640625,2879.256591796875
2023-04-19,1130.0843505859375,82.10790252685547,1073.6800537109375,2841.412109375
2023-04-20,1122.0137939453125,82.34010314941406,1070.9638671875,2855.39208984375
2023-04-21,1125.636474609375,82.14089965820312,1072.310546875,2906.938720703125
2023-04-24,1124.67333984375,82.05480194091797,1076.4190673828125,2919.7685546875
2023-04-25,1123.389404296875,81.85230255126953,1084.65869140625,2920.87158203125
2023-04-26,1125.81982421875,81.9916000366211,1078.2906494140625,2941.2421875
2023-04-27,1142.969970703125,81.76689910888672,1085.115234375,2931.861572265625
2023-04-28,1148.9315185546875,81.76509857177734,1104.949951171875,2960.64697265625
2023-05-01,,81.74479675292969,,
2023-05-02,1171.584228515625,81.77469635009766,1114.3310546875,2960.785400390625
2023-05-03,1163.9722900390625,81.77870178222656,1104.7674560546875,2924.458251953125
2023-05-04,1168.0074462890625,81.77999877929688,1117.503662109375,2961.980712890625
2023-05-05,1154.7550048828125,81.71610260009766,1114.650634765625,2971.17822265625
2023-05-08,1160.7164306640625,81.72979736328125,1128.4140625,2989.479248046875
2023-05-09,1165.393798828125,81.78710174560547,1131.9061279296875,3019.50634765625
2023-05-10,1158.561279296875,82.1050033569336,1139.6895751953125,3022.771240234375
2023-05-11,1152.003662109375,81.9198989868164,1132.24853515625,3018.49462890625
